driverId,position,fastestLapTime,year,round,name,datetime
1,1,01:29.4,2024,12,British Grand Prix,2024-07-07T14:00:00.000
847,1,01:09.2,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
830,1,01:17.8,2024,10,Spanish Grand Prix,2024-06-23T13:00:00.000
830,1,01:15.6,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
844,1,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
830,1,01:20.4,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
846,1,01:31.0,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
830,1,01:38.4,2024,5,Chinese Grand Prix,2024-04-21T07:00:00.000
830,1,01:33.7,2024,4,Japanese Grand Prix,2024-04-07T05:00:00.000
832,1,01:20.0,2024,3,Australian Grand Prix,2024-03-24T04:00:00.000
830,1,01:31.8,2024,2,Saudi Arabian Grand Prix,2024-03-09T17:00:00.000
830,1,01:32.6,2024,1,Bahrain Grand Prix,2024-03-02T15:00:00.000
830,1,01:27.0,2023,22,Abu Dhabi Grand Prix,2023-11-26T13:00:00.000
830,1,01:35.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
830,1,01:13.4,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
830,1,01:21.6,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
830,1,01:40.0,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
830,1,01:24.3,2023,17,Qatar Grand Prix,2023-10-08T17:00:00.000
830,1,01:34.2,2023,16,Japanese Grand Prix,2023-09-24T05:00:00.000
832,1,01:37.7,2023,15,Singapore Grand Prix,2023-09-17T12:00:00.000
830,1,01:25.2,2023,14,Italian Grand Prix,2023-09-03T13:00:00.000
830,1,01:13.9,2023,13,Dutch Grand Prix,2023-08-27T13:00:00.000
830,1,01:48.9,2023,12,Belgian Grand Prix,2023-07-30T13:00:00.000
830,1,01:20.5,2023,11,Hungarian Grand Prix,2023-07-23T13:00:00.000
830,1,01:30.3,2023,10,British Grand Prix,2023-07-09T14:00:00.000
830,1,01:07.0,2023,9,Austrian Grand Prix,2023-07-02T13:00:00.000
830,1,01:15.6,2023,8,Canadian Grand Prix,2023-06-18T18:00:00.000
830,1,01:16.3,2023,7,Spanish Grand Prix,2023-06-04T13:00:00.000
830,1,01:16.6,2023,6,Monaco Grand Prix,2023-05-28T13:00:00.000
830,1,01:29.7,2023,5,Miami Grand Prix,2023-05-07T19:30:00.000
815,1,01:44.6,2023,4,Azerbaijan Grand Prix,2023-04-30T11:00:00.000
830,1,01:20.3,2023,3,Australian Grand Prix,2023-04-02T05:00:00.000
815,1,01:32.2,2023,2,Saudi Arabian Grand Prix,2023-03-19T17:00:00.000
830,1,01:36.2,2023,1,Bahrain Grand Prix,2023-03-05T15:00:00.000
830,1,01:29.4,2022,22,Abu Dhabi Grand Prix,2022-11-20T13:00:00.000
847,1,01:13.8,2022,21,São Paulo Grand Prix,2022-11-13T18:00:00.000
830,1,01:22.0,2022,20,Mexico City Grand Prix,2022-10-30T20:00:00.000
830,1,01:39.5,2022,19,United States Grand Prix,2022-10-23T19:00:00.000
830,1,01:44.9,2022,18,Japanese Grand Prix,2022-10-09T05:00:00.000
815,1,01:48.2,2022,17,Singapore Grand Prix,2022-10-02T12:00:00.000
830,1,01:24.7,2022,16,Italian Grand Prix,2022-09-11T13:00:00.000
830,1,01:13.7,2022,15,Dutch Grand Prix,2022-09-04T13:00:00.000
830,1,01:49.4,2022,14,Belgian Grand Prix,2022-08-28T13:00:00.000
830,1,01:22.1,2022,13,Hungarian Grand Prix,2022-07-31T13:00:00.000
830,1,01:37.5,2022,12,French Grand Prix,2022-07-24T13:00:00.000
844,1,01:07.6,2022,11,Austrian Grand Prix,2022-07-10T13:00:00.000
832,1,01:30.8,2022,10,British Grand Prix,2022-07-03T14:00:00.000
830,1,01:15.8,2022,9,Canadian Grand Prix,2022-06-19T18:00:00.000
830,1,01:46.1,2022,8,Azerbaijan Grand Prix,2022-06-12T11:00:00.000
815,1,01:16.0,2022,7,Monaco Grand Prix,2022-05-29T13:00:00.000
830,1,01:25.5,2022,6,Spanish Grand Prix,2022-05-22T13:00:00.000
830,1,01:31.4,2022,5,Miami Grand Prix,2022-05-08T19:30:00.000
830,1,01:18.4,2022,4,Emilia Romagna Grand Prix,2022-04-24T13:00:00.000
844,1,01:20.3,2022,3,Australian Grand Prix,2022-04-10T05:00:00.000
830,1,01:31.8,2022,2,Saudi Arabian Grand Prix,2022-03-27T17:00:00.000
844,1,01:34.6,2022,1,Bahrain Grand Prix,2022-03-20T15:00:00.000
830,1,01:26.1,2021,22,Abu Dhabi Grand Prix,2021-12-12T13:00:00.000
1,1,01:30.7,2021,21,Saudi Arabian Grand Prix,2021-12-05T17:30:00.000
1,1,01:12.0,2021,19,São Paulo Grand Prix,2021-11-14T17:00:00.000
