driverId,position,fastestLapTime,year,round,name,datetime
1,1,01:29.4,2024,12,British Grand Prix,2024-07-07T14:00:00.000
830,2,01:29.0,2024,12,British Grand Prix,2024-07-07T14:00:00.000
846,3,01:29.3,2024,12,British Grand Prix,2024-07-07T14:00:00.000
857,4,01:28.7,2024,12,British Grand Prix,2024-07-07T14:00:00.000
832,5,01:28.3,2024,12,British Grand Prix,2024-07-07T14:00:00.000
807,6,01:29.8,2024,12,British Grand Prix,2024-07-07T14:00:00.000
840,7,01:29.9,2024,12,British Grand Prix,2024-07-07T14:00:00.000
4,8,01:29.7,2024,12,British Grand Prix,2024-07-07T14:00:00.000
848,9,01:29.7,2024,12,British Grand Prix,2024-07-07T14:00:00.000
852,10,01:30.2,2024,12,British Grand Prix,2024-07-07T14:00:00.000
858,11,01:30.0,2024,12,British Grand Prix,2024-07-07T14:00:00.000
825,12,01:30.1,2024,12,British Grand Prix,2024-07-07T14:00:00.000
817,13,01:30.7,2024,12,British Grand Prix,2024-07-07T14:00:00.000
844,14,01:29.7,2024,12,British Grand Prix,2024-07-07T14:00:00.000
822,15,01:31.3,2024,12,British Grand Prix,2024-07-07T14:00:00.000
839,16,01:30.9,2024,12,British Grand Prix,2024-07-07T14:00:00.000
815,17,01:29.7,2024,12,British Grand Prix,2024-07-07T14:00:00.000
855,18,01:31.0,2024,12,British Grand Prix,2024-07-07T14:00:00.000
847,,01:31.3,2024,12,British Grand Prix,2024-07-07T14:00:00.000
842,,,2024,12,British Grand Prix,2024-07-07T14:00:00.000
847,1,01:09.2,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
857,2,01:08.7,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
832,3,01:09.3,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
1,4,01:09.6,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
830,5,01:07.7,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
807,6,01:10.2,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
815,7,01:09.7,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
825,8,01:10.1,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
817,9,01:10.4,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
842,10,01:09.6,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
844,11,01:09.6,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
839,12,01:09.6,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
840,13,01:10.1,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
852,14,01:10.3,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
848,15,01:10.4,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
822,16,01:10.4,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
855,17,01:10.5,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
4,18,01:07.7,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
858,19,01:10.4,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
846,20,01:08.0,2024,11,Austrian Grand Prix,2024-06-30T13:00:00.000
830,1,01:17.8,2024,10,Spanish Grand Prix,2024-06-23T13:00:00.000
846,2,01:17.1,2024,10,Spanish Grand Prix,2024-06-23T13:00:00.000
1,3,01:17.8,2024,10,Spanish Grand Prix,2024-06-23T13:00:00.000
847,4,01:18.3,2024,10,Spanish Grand Prix,2024-06-23T13:00:00.000
844,5,01:17.9,2024,10,Spanish Grand Prix,2024-06-23T13:00:00.000
832,6,01:18.5,2024,10,Spanish Grand Prix,2024-06-23T13:00:00.000
